,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Vaini,-21.2,-175.2,78.96,78,40,10.36,TO,1636843144
1,Cherskiy,68.75,161.3,17.35,96,100,4.68,RU,1636843144
2,Hualmay,-11.0964,-77.6139,65.39,80,30,9.48,PE,1636843145
3,Santa Rosalía,27.3167,-112.2833,77.54,35,78,3.65,MX,1636842672
4,Rikitea,-23.1203,-134.9692,73.42,73,50,12.68,PF,1636842672
5,Noumea,-22.2763,166.4572,85.98,99,10,8.23,NC,1636842673
6,Butaritari,3.0707,172.7902,82.11,75,36,15.3,KI,1636842673
7,Norman Wells,65.282,-126.8329,15.84,79,75,12.66,CA,1636842887
8,Ponta do Sol,32.6667,-17.1,68.63,72,50,2.53,PT,1636842888
9,Shymkent,42.3,69.6,36.19,75,93,2.24,KZ,1636842888
10,Busselton,-33.65,115.3333,55.04,63,43,17.94,AU,1636842889
11,Qaanaaq,77.484,-69.3632,-8.82,54,0,8.46,GL,1636842890
12,Corat,40.5725,49.7064,39.29,68,2,7.58,AZ,1636842890
13,Cape Town,-33.9258,18.4232,65.08,76,0,3.0,ZA,1636842850
14,Port Alfred,-33.5906,26.891,63.09,87,54,15.03,ZA,1636842298
15,Lagoa,39.05,-27.9833,62.94,65,100,19.8,PT,1636843148
16,Cabo San Lucas,22.8909,-109.9124,87.62,66,20,1.99,MX,1636842685
17,Mahébourg,-20.4081,57.7,76.24,83,40,11.5,MU,1636842891
18,Comodoro Rivadavia,-45.8667,-67.5,66.06,59,0,11.5,AR,1636842892
19,Bluff,-46.6,168.3333,50.4,88,100,9.31,NZ,1636842892
20,Tuktoyaktuk,69.4541,-133.0374,19.4,86,90,16.11,CA,1636842893
21,Mataura,-46.1927,168.8643,48.97,99,100,1.57,NZ,1636842893
22,Wanning,18.8003,110.3967,67.17,79,73,9.8,CN,1636842598
23,Lompoc,34.6391,-120.4579,91.78,30,1,12.66,US,1636842894
24,Muros,42.7762,-9.0603,59.85,92,18,7.2,ES,1636842895
25,Darhan,49.4867,105.9228,26.65,64,43,2.84,MN,1636842895
26,Port Hardy,50.6996,-127.4199,44.78,93,90,16.11,CA,1636842896
27,Punta Arenas,-53.15,-70.9167,53.71,50,90,10.36,CL,1636842818
28,Agirish,61.9247,63.0231,16.16,86,100,8.21,RU,1636842897
29,Davila,18.4726,120.5763,75.18,85,83,18.88,PH,1636842897
30,New Norfolk,-42.7826,147.0587,53.92,67,100,4.0,AU,1636842898
31,Umm Kaddadah,13.6017,26.6876,77.32,16,1,14.92,SD,1636842898
32,Formosa,-26.1775,-58.1781,85.98,48,0,13.8,AR,1636842899
33,Atuona,-9.8,-139.0333,77.94,64,7,12.1,PF,1636842899
34,Bar Harbor,44.3876,-68.2039,51.03,81,1,10.0,US,1636842900
35,Boguchany,58.3814,97.4531,25.09,84,100,7.31,RU,1636842900
